# OSQP Solve Metadata - Sample 300
# rho_updates,iter
1,200

# rho_update_history (1 entries)
# admm_iter,rho_old,rho_new
100,1.25000000e-01,7.81250000e-03

# rho_update_history_hex (1 entries)
# admm_iter,rho_old_hex,rho_new_hex
100,3e000000,3c000000

# admm_iteration_log (5 entries)
# iter,prim_res,dual_res,duality_gap,rel_kkt_error,rho,last_rel_kkt,kkt_threshold,kkt_check,can_adapt_rho,eps_prim,eps_dual,prim_check,dual_check,terminated
1,3.10214632e-03,1.85019570e+04,-8.30286026e+01,1.85019570e+04,1.25000000e-01,1.00000002e+30,0.00000000e+00,-1,0,0.00000000e+00,0.00000000e+00,-1,-1,0
50,3.79027915e-05,9.61028099e-01,-1.18612032e-03,9.61028099e-01,1.25000000e-01,1.00000002e+30,0.00000000e+00,-1,1,1.19380385e-03,1.18711088e-02,1,0,0
100,3.89682464e-06,1.01701927e+00,-1.52251031e-03,1.01701927e+00,7.81250000e-03,1.01701927e+00,0.00000000e+00,-1,1,1.11171394e-03,1.18711088e-02,1,0,0
150,9.41004753e-02,2.28900909e-02,-8.83555040e-05,9.41004753e-02,7.81250000e-03,1.01701927e+00,0.00000000e+00,-1,1,1.47859426e-03,1.18711088e-02,0,0,0
200,6.75201416e-04,9.15527344e-04,-6.20912760e-06,9.15527344e-04,7.81250000e-03,1.01701927e+00,0.00000000e+00,-1,1,1.47866178e-03,1.18711088e-02,1,1,1

# admm_iteration_log_hex (5 entries)
# iter,prim_res_hex,dual_res_hex,duality_gap_hex,rel_kkt_error_hex,rho_hex,last_rel_kkt_hex,kkt_threshold_hex,kkt_check,can_adapt_rho,eps_prim_hex,eps_dual_hex,prim_check,dual_check,terminated
1,3b4b4d61,46908bea,c2a60ea5,46908bea,3e000000,7149f2ca,00000000,-1,0,00000000,00000000,-1,-1,0
50,381ef9d0,3f7605f0,ba9b7798,3f7605f0,3e000000,7149f2ca,00000000,-1,1,3a9c7969,3c427f0a,1,0,0
100,3682c178,3f822db0,bac78ef8,3f822db0,3c000000,3f822db0,00000000,-1,1,3a91b6ee,3c427f0a,1,0,0
150,3dc0b7c0,3cbb8400,b8b94b80,3dc0b7c0,3c000000,3f822db0,00000000,-1,1,3ac1cd64,3c427f0a,0,0,0
200,3a310000,3a700000,b6d05800,3a700000,3c000000,3f822db0,00000000,-1,1,3ac1cfa8,3c427f0a,1,1,1
