# OSQP Solve Metadata - Sample 1100
# rho_updates,iter
2,150

# rho_update_history (2 entries)
# admm_iter,rho_old,rho_new
50,1.25000000e-01,7.81250000e-03
100,7.81250000e-03,6.25000000e-02

# rho_update_history_hex (2 entries)
# admm_iter,rho_old_hex,rho_new_hex
50,3e000000,3c000000
100,3c000000,3d800000

# admm_iteration_log (4 entries)
# iter,prim_res,dual_res,duality_gap,rel_kkt_error,rho,last_rel_kkt,kkt_threshold,kkt_check,can_adapt_rho,eps_prim,eps_dual,prim_check,dual_check,terminated
1,1.36332889e-03,4.47679291e+01,-5.93113750e-02,4.47679291e+01,1.25000000e-01,1.00000002e+30,0.00000000e+00,-1,0,0.00000000e+00,0.00000000e+00,-1,-1,0
50,3.22144479e-06,7.14736938e-01,-2.99889594e-03,7.14736938e-01,7.81250000e-03,7.14736938e-01,0.00000000e+00,-1,1,1.30582461e-03,2.89038327e-02,1,0,0
100,1.02915764e-02,3.29589844e-03,-1.03175640e-04,1.02915764e-02,6.25000000e-02,1.02915764e-02,0.00000000e+00,-1,1,1.51937816e-03,2.87168454e-02,0,1,0
150,3.33786011e-05,5.80286980e-03,-2.86549330e-05,5.80286980e-03,6.25000000e-02,1.02915764e-02,0.00000000e+00,-1,1,1.51834893e-03,2.87240464e-02,1,1,1

# admm_iteration_log_hex (4 entries)
# iter,prim_res_hex,dual_res_hex,duality_gap_hex,rel_kkt_error_hex,rho_hex,last_rel_kkt_hex,kkt_threshold_hex,kkt_check,can_adapt_rho,eps_prim_hex,eps_dual_hex,prim_check,dual_check,terminated
1,3ab2b1ba,4233125c,bd72f07c,4233125c,3e000000,7149f2ca,00000000,-1,0,00000000,00000000,-1,-1,0
50,36583000,3f36f900,bb448920,3f36f900,3c000000,3f36f900,00000000,-1,1,3aab2834,3cecc7bb,1,0,0
100,3c289e00,3b580000,b8d86000,3c289e00,3d800000,3c289e00,00000000,-1,1,3ac725df,3ceb3f97,0,1,0
150,380c0000,3bbe2600,b7f06000,3bbe2600,3d800000,3c289e00,00000000,-1,1,3ac70356,3ceb4eb1,1,1,1
