# OSQP Solve Metadata - Sample 1200
# rho_updates,iter
1,250

# rho_update_history (1 entries)
# admm_iter,rho_old,rho_new
250,1.25000000e-01,1.56250000e-02

# rho_update_history_hex (1 entries)
# admm_iter,rho_old_hex,rho_new_hex
250,3e000000,3c800000

# admm_iteration_log (6 entries)
# iter,prim_res,dual_res,duality_gap,rel_kkt_error,rho,last_rel_kkt,kkt_threshold,kkt_check,can_adapt_rho,eps_prim,eps_dual,prim_check,dual_check,terminated
1,1.16012162e-02,3.55194775e+03,-1.03131020e+00,3.55194775e+03,1.25000000e-01,1.00000002e+30,0.00000000e+00,-1,0,0.00000000e+00,0.00000000e+00,-1,-1,0
50,1.04265055e-04,1.15609741e+00,-8.59947875e-03,1.15609741e+00,1.25000000e-01,1.00000002e+30,0.00000000e+00,-1,1,1.29552418e-03,1.56661700e-02,1,0,0
100,1.02238655e-02,5.31438828e-01,-6.57848269e-03,5.31438828e-01,1.25000000e-01,1.00000002e+30,0.00000000e+00,-1,1,1.52233778e-03,1.55348955e-02,0,0,0
150,1.70326233e-03,9.08432007e-02,-1.33309513e-03,9.08432007e-02,1.25000000e-01,1.00000002e+30,0.00000000e+00,-1,1,1.52148562e-03,1.55846346e-02,0,0,0
200,2.89440155e-04,1.74942017e-02,-3.10460106e-04,1.74942017e-02,1.25000000e-01,1.00000002e+30,0.00000000e+00,-1,1,1.52134430e-03,1.55905420e-02,1,0,0
250,4.48226929e-05,1.41112804e-02,-1.30365603e-04,1.41112804e-02,1.56250000e-02,1.41112804e-02,0.00000000e+00,-1,1,1.52131985e-03,1.55908838e-02,1,1,1

# admm_iteration_log_hex (6 entries)
# iter,prim_res_hex,dual_res_hex,duality_gap_hex,rel_kkt_error_hex,rho_hex,last_rel_kkt_hex,kkt_threshold_hex,kkt_check,can_adapt_rho,eps_prim_hex,eps_dual_hex,prim_check,dual_check,terminated
1,3c3e1307,455dff2a,bf8401f9,455dff2a,3e000000,7149f2ca,00000000,-1,0,00000000,00000000,-1,-1,0
50,38daa8e0,3f93fb00,bc0ce4d4,3f93fb00,3e000000,7149f2ca,00000000,-1,1,3aa9ce94,3c805657,1,0,0
100,3c278200,3f080c60,bbd79050,3f080c60,3e000000,7149f2ca,00000000,-1,1,3ac7892e,3c7e8613,0,0,0
150,3adf4000,3dba0c00,baaebb40,3dba0c00,3e000000,7149f2ca,00000000,-1,1,3ac76c96,3c7f56b2,0,0,0
200,3997c000,3c8f5000,b9a2c540,3c8f5000,3e000000,7149f2ca,00000000,-1,1,3ac767d8,3c7f6f79,1,0,0
250,383c0000,3c673300,b908b2c0,3c673300,3c800000,3c673300,00000000,-1,1,3ac76706,3c7f70e8,1,1,1
