=== solveQP Failure Log ===
Format: [FAIL TYPE] solve_count, sqp_iter, additional_info
==========================================
[solverStatus] 31, 0, status=7
[RTI_solveQP_FAIL] 31, 0, qp_status=7
[solverStatus] 46, 0, status=7
[RTI_solveQP_FAIL] 46, 0, qp_status=7
[solverStatus] 57, 0, status=7
[RTI_solveQP_FAIL] 57, 0, qp_status=7
[solverStatus] 67, 0, status=7
[RTI_solveQP_FAIL] 67, 0, qp_status=7
[solverStatus] 84, 0, status=7
[RTI_solveQP_FAIL] 84, 0, qp_status=7
[solverStatus] 92, 0, status=7
[RTI_solveQP_FAIL] 92, 0, qp_status=7
[solverStatus] 100, 0, status=7
[RTI_solveQP_FAIL] 100, 0, qp_status=7
[solverStatus] 109, 0, status=7
[RTI_solveQP_FAIL] 109, 0, qp_status=7
[solverStatus] 504, 0, status=7
[RTI_solveQP_FAIL] 504, 0, qp_status=7
[solverStatus] 548, 0, status=7
[RTI_solveQP_FAIL] 548, 0, qp_status=7
[solverStatus] 552, 0, status=7
[RTI_solveQP_FAIL] 552, 0, qp_status=7
[solverStatus] 556, 0, status=7
[RTI_solveQP_FAIL] 556, 0, qp_status=7
[solverStatus] 560, 0, status=7
[RTI_solveQP_FAIL] 560, 0, qp_status=7
[solverStatus] 571, 0, status=7
[RTI_solveQP_FAIL] 571, 0, qp_status=7
[solverStatus] 575, 0, status=7
[RTI_solveQP_FAIL] 575, 0, qp_status=7
[solverStatus] 580, 0, status=7
[RTI_solveQP_FAIL] 580, 0, qp_status=7
[solverStatus] 587, 0, status=7
[RTI_solveQP_FAIL] 587, 0, qp_status=7
[solverStatus] 589, 0, status=7
[RTI_solveQP_FAIL] 589, 0, qp_status=7
[solverStatus] 595, 0, status=7
[RTI_solveQP_FAIL] 595, 0, qp_status=7
[solverStatus] 597, 0, status=7
[RTI_solveQP_FAIL] 597, 0, qp_status=7
[solverStatus] 600, 0, status=7
[RTI_solveQP_FAIL] 600, 0, qp_status=7
[solverStatus] 603, 0, status=7
[RTI_solveQP_FAIL] 603, 0, qp_status=7
[solverStatus] 610, 0, status=7
[RTI_solveQP_FAIL] 610, 0, qp_status=7
[solverStatus] 1102, 0, status=7
[RTI_solveQP_FAIL] 1102, 0, qp_status=7
[solverStatus] 1117, 0, status=7
[RTI_solveQP_FAIL] 1117, 0, qp_status=7
[solverStatus] 1140, 0, status=7
[RTI_solveQP_FAIL] 1140, 0, qp_status=7
[solverStatus] 1142, 0, status=7
[RTI_solveQP_FAIL] 1142, 0, qp_status=7
[solverStatus] 1144, 0, status=7
[RTI_solveQP_FAIL] 1144, 0, qp_status=7
